route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,non_revenue_trip,bikes_allowed
vilnius_nightbus_N3,456589,AN3-01-5-250614-ba-2620,"Centras",1,AN3-01-5-250614-2440862,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0,0
vilnius_nightbus_N3,456589,AN3-02-5-250614-ba-2650,"Centras",1,AN3-02-5-250614-2440863,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0,0
vilnius_nightbus_N3,456589,AN3-03-5-250614-ba-2720,"Centras",1,AN3-03-5-250614-2440864,vilnius_nightbus_N3_b-a,1,"Santariškės–Baltupiai–Žirmūnai–Centras",0,0
vilnius_nightbus_N3,456589,AN3-01-5-250614-bd-2740,"Autobusų parkas (Verkių g.)",1,AN3-01-5-250614-2440862,vilnius_nightbus_N3_b-d,1,"Santariškės–Žvalgų g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N3,456589,AN3-02-5-250614-bd-2810,"Autobusų parkas (Verkių g.)",1,AN3-02-5-250614-2440863,vilnius_nightbus_N3_b-d,1,"Santariškės–Žvalgų g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N3,456589,AN3-03-5-250614-bd-2840,"Autobusų parkas (Verkių g.)",1,AN3-03-5-250614-2440864,vilnius_nightbus_N3_b-d,1,"Santariškės–Žvalgų g.–Autobusų parkas (Verkių g.)",1,0
vilnius_nightbus_N3,456589,AN3-01-5-250614-da-2340,"Centras",0,AN3-01-5-250614-2440862,vilnius_nightbus_N3_d-a,1,"Autobusų parkas (Verkių g.)–Žirmūnai–Centras",1,0
vilnius_nightbus_N3,456589,AN3-02-5-250614-da-2410,"Centras",0,AN3-02-5-250614-2440863,vilnius_nightbus_N3_d-a,1,"Autobusų parkas (Verkių g.)–Žirmūnai–Centras",1,0
vilnius_nightbus_N3,456589,AN3-03-5-250614-da-2440,"Centras",0,AN3-03-5-250614-2440864,vilnius_nightbus_N3_d-a,1,"Autobusų parkas (Verkių g.)–Žirmūnai–Centras",1,0
vilnius_nightbus_N4,456457,AN4-01-5-250614-a1b1-2400,"Pašilaičiai (Gabijos progimnazija)",0,AN4-01-5-250614-2440005,vilnius_nightbus_N4_a1-b1,1,"Centras–Kalvarijų–S. Stanevičiaus g.–Pašilaičiai (Gabijos progimnazija)",0,0
