stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
9466,1654,"Monikos Mironaitės st.","link Žvėryno",54.68081,25.18967,https://www.stops.lt/vilnius/index.html#stop/1654,,
9961,1657,"Monikos Mironaitės st.","link Ungurių žiedo",54.68083,25.18950,https://www.stops.lt/vilnius/index.html#stop/1657,,
9966,1660,"Bijūnų st.","link žiedo",54.66748,25.21675,https://www.stops.lt/vilnius/index.html#stop/1660,,
11049,1665,"Lazdynų ligoninė","iš centro",54.66900,25.20914,https://www.stops.lt/vilnius/index.html#stop/1665,,
9965,1659,"Šiltnamių žiedas","įlaipinimas",54.66708,25.22145,https://www.stops.lt/vilnius/index.html#stop/1659,,
10264,1663,"Ungurių st.","įlaipinimas",54.65354,25.20851,https://www.stops.lt/vilnius/index.html#stop/1663,,
16903,3006,"Lentvaris","link Grigiškių",54.64554,25.04896,https://www.stops.lt/vilnius/index.html#stop/3006,,
9685,3000,"Kilimų fabrikas","link Grigiškių",54.65364,25.04649,https://www.stops.lt/vilnius/index.html#stop/3000,,
9690,3004,"Kilimų fabrikas","link miesto",54.65519,25.04569,https://www.stops.lt/vilnius/index.html#stop/3004,,
16879,3921,"Mačiuliškių st.","iš centro",54.64386,25.07848,https://www.stops.lt/vilnius/index.html#stop/3921,,
16880,3922,"Mačiuliškių st.","link centro",54.64365,25.08055,https://www.stops.lt/vilnius/index.html#stop/3922,,
9692,3907,"1-asis Lentvaris","link miesto",54.64427,25.06487,https://www.stops.lt/vilnius/index.html#stop/3907,,
9618,3003,"Lentvaris","link miesto",54.64505,25.05501,https://www.stops.lt/vilnius/index.html#stop/3003,,
17320,3007,"Lentvaris","",54.64513,25.05360,https://www.stops.lt/vilnius/index.html#stop/3007,,
9686,3001,"Naujasis Lentvaris","link Grigiškių",54.65800,25.05965,https://www.stops.lt/vilnius/index.html#stop/3001,,
9688,3002,"Naujasis Lentvaris","link miesto",54.65801,25.05934,https://www.stops.lt/vilnius/index.html#stop/3002,,
9689,3005,"Vandenų st.","link miesto",54.65804,25.04874,https://www.stops.lt/vilnius/index.html#stop/3005,,
5966,4011,"Basiukai","link centro",54.61206,25.31046,https://www.stops.lt/vilnius/index.html#stop/4011,,
5967,4012,"Basiukai","iš centro",54.61052,25.31098,https://www.stops.lt/vilnius/index.html#stop/4012,,
5969,4013,"Katiliškės","link centro",54.60612,25.31308,https://www.stops.lt/vilnius/index.html#stop/4013,,
5955,2633,"Kelininkų st.","iš centro",54.64917,25.30266,https://www.stops.lt/vilnius/index.html#stop/2633,,
5996,4003,"Kelininkų st.","link centro",54.65048,25.30308,https://www.stops.lt/vilnius/index.html#stop/4003,,
646,4015,"Lydos st.","link centro",54.62535,25.30561,https://www.stops.lt/vilnius/index.html#stop/4015,,
5960,2636,"Lydos st.","iš centro",54.62522,25.30547,https://www.stops.lt/vilnius/index.html#stop/2636,,
5958,2635,"Miško parkas","iš centro",54.63671,25.30307,https://www.stops.lt/vilnius/index.html#stop/2635,,
5995,4005,"Miško parkas","link centro",54.63609,25.30331,https://www.stops.lt/vilnius/index.html#stop/4005,,
5956,2634,"Šalčininkų kryptis","iš centro",54.64398,25.30273,https://www.stops.lt/vilnius/index.html#stop/2634,,
5957,4004,"Šalčininkų kryptis","link centro",54.64484,25.30285,https://www.stops.lt/vilnius/index.html#stop/4004,,
5964,4010,"Svirno st.","iš centro",54.61725,25.30824,https://www.stops.lt/vilnius/index.html#stop/4010,,
5965,4009,"Svirno st.","link centro",54.61865,25.30796,https://www.stops.lt/vilnius/index.html#stop/4009,,
5953,2632,"Žirnių st.","iš stoties",54.65307,25.30270,https://www.stops.lt/vilnius/index.html#stop/2632,,
17222,4014,"Katiliškės","iš centro",54.60587,25.31291,https://www.stops.lt/vilnius/index.html#stop/4014,,
16977,4001,"Žirnių st.","iš stoties",54.65394,25.30397,https://www.stops.lt/vilnius/index.html#stop/4001,,
16978,1513,"Žirnių st.","link oro uosto",54.65470,25.30181,https://www.stops.lt/vilnius/index.html#stop/1513,,
17033,2272,"Gulbinėlių st.","į miestą",54.77035,25.30112,https://www.stops.lt/vilnius/index.html#stop/2272,,
17034,2273,"Gulbinėlių st.","iš centro",54.77138,25.30117,https://www.stops.lt/vilnius/index.html#stop/2273,,
17036,2275,"Raudonės st.","iš centro",54.77427,25.30032,https://www.stops.lt/vilnius/index.html#stop/2275,,
17037,2276,"Raudonės st.","į centrą",54.77380,25.30039,https://www.stops.lt/vilnius/index.html#stop/2276,,
17038,2277,"Mažieji Gulbinai","iš centro",54.78649,25.29783,https://www.stops.lt/vilnius/index.html#stop/2277,,
17039,2278,"Mažieji Gulbinai","į centrą",54.78620,25.29770,https://www.stops.lt/vilnius/index.html#stop/2278,,
