Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS,
Autobusai,48,22586081554,4508,25245196,54717168,0,264,954,0,59537,KWNZ,B>A,Šeškinė,A48-01-7-240902-ab-1640,
Troleibusai,1,22594371603,2776,25282716,54672168,0,206,963,0,59548,KWNZ,A>B,Stotis,T1-01-7-240902-ba-1630,
Troleibusai,1,22594381558,2691,25206110,54684272,0,352,958,0,59545,KZ,B>A,Karoliniškės,T1-02-7-240902-ab-1640,
Troleibusai,3,22594941617,2747,25279313,54687225,15,258,977,-79,59542,KWNZ,B>A,Karoliniškės,T3-03-7-240902-ba-1620,
Troleibusai,3,22594951618,2746,25244993,54698853,21,120,978,144,59546,KWNZ,A>B,Šiaurės miestelis,T3-01-7-240902-ab-1620,
Troleibusai,3,22594961555,2777,25213658,54692354,26,214,955,9,59542,KWNZ,B>A,Karoliniškės,T3-02-7-240902-ba-1600,
Troleibusai,3,22594971549,2751,25300984,54710756,0,102,949,0,59549,KWNZ,A>B,Šiaurės miestelis,T3-04-7-240902-ba-1640,
Troleibusai,4,22595231628,1649,25314979,54712455,15,192,988,-51,59549,,A>B1,Gerosios Vilties st.,T4-04-7-240902-ab1-1630,
Troleibusai,4,22595241605,1707,25263774,54681064,27,252,965,71,59548,KZ,A>B1,Gerosios Vilties st.,T4-05-7-240902-ab1-1610,
Troleibusai,4,22595251638,1745,25318112,54722393,2,172,998,0,59551,KWNZ,A>B1,Gerosios Vilties st.,T4-01-7-240902-ab1-1640,
Troleibusai,4,22595261632,1682,25239072,54668163,21,54,992,62,59546,KZ,B1>A,Antakalnis,T4-02-7-240902-b1a-1630,
Troleibusai,4,22595271618,1744,25289370,54688377,15,266,978,-83,59544,KWNZ,A>B1,Gerosios Vilties st.,T4-06-7-240902-ab1-1620,
Troleibusai,4,22595281620,1855,25265823,54685131,26,40,980,189,59550,KWNZ,B1>A,Antakalnis,T4-07-7-240902-b1a-1620,
Troleibusai,4,22595291613,1731,25295245,54689544,31,60,973,-12,59552,KWNZ,B1>A,Antakalnis,T4-03-7-240902-b1a-1610,
Troleibusai,4,22595301601,1737,25314783,54711271,8,358,961,215,59548,KWNZ,B1>A,Antakalnis,T4-08-7-240902-b1a-1600,
Troleibusai,9,22596351553,2686,25297246,54726594,0,286,953,0,59550,Z,A>B,Žirmūnai,T9-01-7-240902-ba-1650,
Troleibusai,9,22596361556,1743,25209001,54689457,9,218,956,126,59552,KWNZ,B>A,Karoliniškės,T9-03-7-240902-ba-1600,
Troleibusai,9,22596371623,2775,25222589,54698870,23,42,983,79,59545,KWNZ,A>B,Žirmūnai,T9-02-7-240902-ab-1620,
Troleibusai,9,22596381628,2695,25305262,54717199,24,170,988,-45,59549,KZ,B>A,Karoliniškės,T9-04-7-240902-ba-1630,
Troleibusai,9,22596391613,2784,25269045,54698121,16,288,973,-18,59549,KWNZ,B>A,Karoliniškės,T9-05-7-240902-ba-1610,
Troleibusai,9,22596401608,2759,25287532,54694609,0,78,968,102,59548,KWNZ,A>B,Žirmūnai,T9-06-7-240902-ab-1610,
Troleibusai,16,22597051555,2749,25233970,54726566,13,10,955,-56,59548,KWNZ,B>A,Pašilaičiai,T16-07-7-240902-ab-1650,
Troleibusai,16,22597061547,2787,25234214,54728450,4,212,947,0,59541,KWNZ,B>A,Pašilaičiai,T16-01-7-240902-ab-1640,
Troleibusai,16,22597071601,2715,25259478,54670047,19,104,961,-8,59550,KZ,A>B,Stotis,T16-05-7-240902-ab-1600,
Troleibusai,16,22597081615,2669,25223011,54674258,35,346,975,-91,59545,,B>A,Pašilaičiai,T16-03-7-240902-ba-1620,
Troleibusai,16,22597091611,2684,25222601,54672891,40,172,971,8,59549,KZ,A>B,Stotis,T16-06-7-240902-ab-1610,
Troleibusai,16,22597101622,2716,25223717,54702487,20,194,982,0,59543,KZ,A>B,Stotis,T16-02-7-240902-ab-1620,
Troleibusai,16,22597111628,2697,25277993,54672769,15,284,988,24,59545,KZ,B>A,Pašilaičiai,T16-04-7-240902-ba-1630,
Troleibusai,16,22597121539,2758,25234179,54728272,0,198,939,0,59549,KWNZ,B>A,Pašilaičiai,T16-08-7-240902-ab-1630,
Troleibusai,16,22597131605,2757,25209176,54687495,26,36,965,227,59548,KZ,B>A,Pašilaičiai,T16-09-7-240902-ba-1610,
Troleibusai,17,22597401549,1734,25295003,54726851,0,186,949,0,59521,KWNZ,B>A,Žirmūnai,T17-01-7-240902-ab-1640,
Troleibusai,17,22597411607,1733,25304495,54704540,20,2,967,59,59547,KWNZ,B>A,Žirmūnai,T17-07-7-240902-ba-1610,
